affected_gene_id	affected_gene_label
ZFIN:ZDB-GENE-030131-1571	fmnl3
ZFIN:ZDB-GENE-030131-1598	cd164
ZFIN:ZDB-GENE-030131-1600	ewsr1b
ZFIN:ZDB-GENE-030131-1613	otop1
ZFIN:ZDB-GENE-030131-1620	plxnc1
ZFIN:ZDB-GENE-030131-1629	cald1a
ZFIN:ZDB-GENE-030131-1715	appbp2
ZFIN:ZDB-GENE-030131-1723	trappc11
ZFIN:ZDB-GENE-030131-1731	lgi1a
ZFIN:ZDB-GENE-030131-1736	exosc8
ZFIN:ZDB-GENE-030131-1747	lin9
ZFIN:ZDB-GENE-030131-1768	alcamb
ZFIN:ZDB-GENE-030131-179	ist1
ZFIN:ZDB-GENE-030131-180	cd63
ZFIN:ZDB-GENE-030131-1825	stx5al
ZFIN:ZDB-GENE-030131-1826	ace
ZFIN:ZDB-GENE-030131-1869	ahsa1
ZFIN:ZDB-GENE-030131-1921	marcksb
ZFIN:ZDB-GENE-030131-1936	lasp1
ZFIN:ZDB-GENE-030131-1949	usp8
ZFIN:ZDB-GENE-030131-1980	gas8
ZFIN:ZDB-GENE-030131-1986	cd99l2
ZFIN:ZDB-GENE-030131-1988	flrt3
ZFIN:ZDB-GENE-030131-1989	zbtb16a
ZFIN:ZDB-GENE-030131-2022	rps28
ZFIN:ZDB-GENE-030131-2046	fam57ba
ZFIN:ZDB-GENE-030131-2049	mat2aa
ZFIN:ZDB-GENE-030131-2052	klhl31
ZFIN:ZDB-GENE-030131-207	ndnf
ZFIN:ZDB-GENE-030131-2085	rpl14
ZFIN:ZDB-GENE-030131-2140	setd2
ZFIN:ZDB-GENE-030131-2146	mphosph10
ZFIN:ZDB-GENE-030131-2152	prickle1b
ZFIN:ZDB-GENE-030131-215	cfl1
ZFIN:ZDB-GENE-030131-2165	nfyc
ZFIN:ZDB-GENE-030131-2168	apoc2
ZFIN:ZDB-GENE-030131-2172	metap2b
ZFIN:ZDB-GENE-030131-2173	eif4g2a
ZFIN:ZDB-GENE-030131-2179	tmem2
ZFIN:ZDB-GENE-030131-2185	vcanb
ZFIN:ZDB-GENE-030131-2193	prdm1a
ZFIN:ZDB-GENE-030131-2201	bhlha9
ZFIN:ZDB-GENE-030131-2207	zc4h2
ZFIN:ZDB-GENE-030131-2211	c3b.1
ZFIN:ZDB-GENE-030131-2219	kifap3b
ZFIN:ZDB-GENE-030131-2220	fntb
ZFIN:ZDB-GENE-030131-224	bmi1a
ZFIN:ZDB-GENE-030131-2281	col4a5
ZFIN:ZDB-GENE-030131-2291	cc2d2a
ZFIN:ZDB-GENE-030131-2299	cltca
ZFIN:ZDB-GENE-030131-2317	ewsr1a
ZFIN:ZDB-GENE-030131-2333	hexb
ZFIN:ZDB-GENE-030131-2341	med24
ZFIN:ZDB-GENE-030131-2348	vapb
ZFIN:ZDB-GENE-030131-2376	her8a
ZFIN:ZDB-GENE-030131-2415	cav1
ZFIN:ZDB-GENE-030131-2416	f11r
ZFIN:ZDB-GENE-030131-2453	top2a
ZFIN:ZDB-GENE-030131-2492	sf1
ZFIN:ZDB-GENE-030131-2513	rnaset2
ZFIN:ZDB-GENE-030131-2519	tnrc6a
ZFIN:ZDB-GENE-030131-2524	soul2
ZFIN:ZDB-GENE-030131-2538	shc1
ZFIN:ZDB-GENE-030131-2581	whsc1
ZFIN:ZDB-GENE-030131-2585	nxf1
ZFIN:ZDB-GENE-030131-2590	clint1a
ZFIN:ZDB-GENE-030131-263	prp19
ZFIN:ZDB-GENE-030131-2649	mtmr14
ZFIN:ZDB-GENE-030131-2656	wnk1b
ZFIN:ZDB-GENE-030131-2702	tsc2
ZFIN:ZDB-GENE-030131-2709	prdm14
ZFIN:ZDB-GENE-030131-271	smyhc1
ZFIN:ZDB-GENE-030131-2721	add3a
ZFIN:ZDB-GENE-030131-2741	hspb12
ZFIN:ZDB-GENE-030131-2748	eif3ba
ZFIN:ZDB-GENE-030131-274	prpf40a
ZFIN:ZDB-GENE-030131-2768	cnot6
ZFIN:ZDB-GENE-030131-2773	trim33
ZFIN:ZDB-GENE-030131-2774	bcar1
ZFIN:ZDB-GENE-030131-2804	dyrk2
ZFIN:ZDB-GENE-030131-2808	polr2gl
ZFIN:ZDB-GENE-030131-2838	supv3l1
ZFIN:ZDB-GENE-030131-2845	stk3
ZFIN:ZDB-GENE-030131-2860	sgk1
ZFIN:ZDB-GENE-030131-2878	iqgap2
ZFIN:ZDB-GENE-030131-2879	tmem209
ZFIN:ZDB-GENE-030131-2887	polr3b
ZFIN:ZDB-GENE-030131-2900	txlna
ZFIN:ZDB-GENE-030131-2908	cyp26b1
ZFIN:ZDB-GENE-030131-2921	dlat
ZFIN:ZDB-GENE-030131-2932	cyp2aa6
ZFIN:ZDB-GENE-030131-2935	igf2b
ZFIN:ZDB-GENE-030131-2957	trim37
ZFIN:ZDB-GENE-030131-2974	mtor
ZFIN:ZDB-GENE-030131-2981	sp5l
ZFIN:ZDB-GENE-030131-2989	zgc:162200
ZFIN:ZDB-GENE-030131-29	arrb2a
ZFIN:ZDB-GENE-030131-3016	camsap2a
ZFIN:ZDB-GENE-030131-3026	dapk3
ZFIN:ZDB-GENE-030131-3027	atp6v0a1a
ZFIN:ZDB-GENE-030131-3029	fstl1b
ZFIN:ZDB-GENE-030131-3044	cax1
ZFIN:ZDB-GENE-030131-304	psmc6
ZFIN:ZDB-GENE-030131-3055	usp19
ZFIN:ZDB-GENE-030131-3063	c3b.2
ZFIN:ZDB-GENE-030131-3077	slc6a6b
ZFIN:ZDB-GENE-030131-3101	fkbp10b
ZFIN:ZDB-GENE-030131-3113	pan2
ZFIN:ZDB-GENE-030131-3127	chsy1
ZFIN:ZDB-GENE-030131-3133	bhlhe40
ZFIN:ZDB-GENE-030131-3135	si:dkey-110k5.6
ZFIN:ZDB-GENE-030131-3148	hmga2
ZFIN:ZDB-GENE-030131-3158	slc2a1a
ZFIN:ZDB-GENE-030131-3161	npc1
ZFIN:ZDB-GENE-030131-3165	plod1a
ZFIN:ZDB-GENE-030131-3167	mmachc
ZFIN:ZDB-GENE-030131-3178	cxxc5a
ZFIN:ZDB-GENE-030131-3187	ap1g1
ZFIN:ZDB-GENE-030131-3196	smc3
ZFIN:ZDB-GENE-030131-3197	zmat2
ZFIN:ZDB-GENE-030131-3205	ubiad1
ZFIN:ZDB-GENE-030131-3207	taf2
ZFIN:ZDB-GENE-030131-3208	mgea5
ZFIN:ZDB-GENE-030131-321	cdk9
ZFIN:ZDB-GENE-030131-3232	hdac6
ZFIN:ZDB-GENE-030131-3238	pabpc1a
ZFIN:ZDB-GENE-030131-3264	fermt1
ZFIN:ZDB-GENE-030131-3273	si:ch211-116m6.3
