FlyBase:FBgn0019631	Drer\shh
ZFIN:ZDB-GENE-020712-1	mpp5a
ZFIN:ZDB-GENE-020731-6	fmr1
ZFIN:ZDB-GENE-020801-1	bbs2
ZFIN:ZDB-GENE-020806-3	mst1
ZFIN:ZDB-GENE-020806-5	esr1
ZFIN:ZDB-GENE-020809-1	robo4
ZFIN:ZDB-GENE-020809-4	adcyap1a
ZFIN:ZDB-GENE-020812-3	twsg1b
ZFIN:ZDB-GENE-020814-2	cxadr
ZFIN:ZDB-GENE-020828-1	has2
ZFIN:ZDB-GENE-020829-1	sim1a
ZFIN:ZDB-GENE-020905-1	atp2a1
ZFIN:ZDB-GENE-020905-2	copa
ZFIN:ZDB-GENE-020905-3	msh6
ZFIN:ZDB-GENE-020910-1	id2a
ZFIN:ZDB-GENE-020919-2	sec31a
ZFIN:ZDB-GENE-020919-3	unc45b
ZFIN:ZDB-GENE-020919-4	st8sia2
ZFIN:ZDB-GENE-021003-1	acvrl1
ZFIN:ZDB-GENE-021008-1	foxn1
ZFIN:ZDB-GENE-021011-2	pak2a
ZFIN:ZDB-GENE-021022-3	kat6a
ZFIN:ZDB-GENE-021028-1	npm1a
ZFIN:ZDB-GENE-021029-1	etf1b
ZFIN:ZDB-GENE-021030-4	cad
ZFIN:ZDB-GENE-021031-1	neo1a
ZFIN:ZDB-GENE-021031-3	pwp2h
ZFIN:ZDB-GENE-021031-4	plod3
ZFIN:ZDB-GENE-021031-5	smoc2
ZFIN:ZDB-GENE-021115-1	slc11a2
ZFIN:ZDB-GENE-021115-2	trpm7
ZFIN:ZDB-GENE-021115-4	cdon
ZFIN:ZDB-GENE-021115-7	plk1
ZFIN:ZDB-GENE-021115-8	kars
ZFIN:ZDB-GENE-021115-9	klf6a
ZFIN:ZDB-GENE-021119-2	drd2a
ZFIN:ZDB-GENE-021120-2	grm6b
ZFIN:ZDB-GENE-021125-1	smarca5
ZFIN:ZDB-GENE-021205-1	nav3
ZFIN:ZDB-GENE-021206-1	hspd1
ZFIN:ZDB-GENE-021206-3	sdc2
ZFIN:ZDB-GENE-021206-7	ahcyl1
ZFIN:ZDB-GENE-021209-1	mcm5
ZFIN:ZDB-GENE-021211-2	msna
ZFIN:ZDB-GENE-021212-1	ddx55
ZFIN:ZDB-GENE-021213-1	sdad1
ZFIN:ZDB-GENE-021217-1	med29
ZFIN:ZDB-GENE-021217-2	diexf
ZFIN:ZDB-GENE-021217-3	arl13b
ZFIN:ZDB-GENE-021219-1	c19h1orf109
ZFIN:ZDB-GENE-021219-2	atp6v1h
ZFIN:ZDB-GENE-021219-3	phf5a
ZFIN:ZDB-GENE-021220-2	ddx54
ZFIN:ZDB-GENE-021220-6	ints7
ZFIN:ZDB-GENE-021223-1	dag1
ZFIN:ZDB-GENE-021223-2	mc4r
ZFIN:ZDB-GENE-021226-1	lamb1a
ZFIN:ZDB-GENE-021226-3	lamc1
ZFIN:ZDB-GENE-021231-2	tsr2
ZFIN:ZDB-GENE-021231-3	wdr43
ZFIN:ZDB-GENE-021231-4	nifk
ZFIN:ZDB-GENE-030102-1	ttc27
ZFIN:ZDB-GENE-030102-2	zcchc7
ZFIN:ZDB-GENE-030103-1	ompb
ZFIN:ZDB-GENE-030109-1	ruvbl2
ZFIN:ZDB-GENE-030109-2	ruvbl1
ZFIN:ZDB-GENE-030113-2	ttna
ZFIN:ZDB-GENE-030114-5	impdh2
ZFIN:ZDB-GENE-030114-6	coro1ca
ZFIN:ZDB-GENE-030114-9	pola1
ZFIN:ZDB-GENE-030116-2	esr2a
ZFIN:ZDB-GENE-030116-3	scfd1
ZFIN:ZDB-GENE-030123-1	ttk
ZFIN:ZDB-GENE-030124-1	nfe2
ZFIN:ZDB-GENE-030127-1	nkx3.2
ZFIN:ZDB-GENE-030128-2	mbpa
ZFIN:ZDB-GENE-030128-3	smad7
ZFIN:ZDB-GENE-030128-4	smad3b
ZFIN:ZDB-GENE-030130-1	epb41b
ZFIN:ZDB-GENE-030131-102	ctgfa
