MGI:1891706	Spen
MGI:88579	Cyct
MGI:95843	Gsx2
MGI:2148554	Axtofa7
MGI:894693	Galnt1
MGI:107538	Klrb1c
MGI:2144114	Tug1
MGI:1196439	Cbx7
MGI:5560152	b2b2362.2Clo
MGI:2676880	Mir205
MGI:1922818	Capsl
MGI:2155249	Gpr6
MGI:3032509	nmf219
MGI:1919711	Prcp
MGI:1921802	Nipal3
MGI:1351744	Eif3m
MGI:2149096	Sle10
MGI:1925616	Gng13
MGI:1919164	Antxr2
MGI:2671369	crf8
MGI:2685107	Syndig1l
MGI:1353593	Lcmt1
MGI:109516	Sftpb
MGI:3042419	Lmblgq1
MGI:2669604	Heal9
MGI:3055094	Pymr
MGI:3774755	Del(2Hoxd11-Hoxd12)34Ddu
MGI:2444912	Mbnl3
MGI:94921	Dpp6
MGI:3691665	Fcs1
MGI:102896	Sult1a1
MGI:108062	Siah2
MGI:2443199	Fstl4
MGI:2147913	Igsf1
MGI:97890	Rad51
MGI:3691642	Tbt1
MGI:3813832	Rgsc1120
MGI:106018	St8sia4
MGI:95574	Fos
MGI:1277141	Lmr2
MGI:3038427	nur48
MGI:2682669	Mhdakta1
MGI:2676815	Mir129-1
MGI:3806074	Rgsc493
MGI:1855694	Isg15
MGI:1347109	Scc8
MGI:1201671	Synj2
MGI:96783	Lhcgr
MGI:1891442	Pcdhac1
MGI:5475487	Mirc35hg
MGI:5489791	Rr28
MGI:1915003	Eqtn
MGI:1918249	Naa40
MGI:1341822	Eif4h
MGI:2684898	Syna
MGI:1919197	2310067B10Rik
MGI:2671417	gro32
MGI:5002717	eyl2
MGI:3809440	Rgsc1490
MGI:1858214	Ppm1d
MGI:1352501	Bcar3
MGI:2148763	Eae22
MGI:1343184	Samd9l
MGI:3614797	Ripply1
MGI:3582981	Cia37
MGI:2429603	Irak2
MGI:106593	Neurod6
MGI:1341884	Hey2
MGI:5305080	Is(14)5Rdf
MGI:3619533	Bmd1a
MGI:1916205	Srrm4
MGI:109156	Isl2
MGI:1338073	Cdc45
MGI:1890663	Dkk2
MGI:96935	Mchm1
MGI:2685968	Ripply2
MGI:1927580	Bloc1s6
MGI:88065	Araf
MGI:1918639	Chd6
MGI:2685449	Rimbp3
MGI:1928753	Pfdn5
MGI:96726	l1Rk4
MGI:1914884	Ftmt
MGI:3843339	Hypn2
MGI:104562	Napb
MGI:3811113	Mleu2
MGI:3625041	Myci1
MGI:3689105	fit5
MGI:3577431	gro91
MGI:2151212	Pgia4
MGI:1914228	Luc7l
MGI:1344344	Dazap2
MGI:105074	Slc9a4
MGI:1298377	Itgae
MGI:1915260	Bambi
MGI:105368	Atp2b2
MGI:1097165	Nrg3
MGI:1919543	Nkd2
MGI:1931627	Fgf16
MGI:3720894	Tgq4
MGI:1922984	Mff
MGI:3606929	Hdlq34
MGI:106512	Pnrc2
MGI:3527566	W6q3
MGI:2444681	Hhat
MGI:2443306	Tom1l2
MGI:1931010	Acp6
MGI:1930949	Gpr180
MGI:2181044	Renf1
MGI:1932134	Rpgrip1
MGI:2137384	Mepe
MGI:107379	Gstt1
MGI:2387371	Sluc26
MGI:88549	Csrp1
MGI:1914139	Rnf128
MGI:1321159	Ppp2ca
MGI:1321133	Hint1
MGI:3589616	Gsi2
MGI:4831045	hlb549
MGI:5484627	Mut1681
MGI:5433688	Mut1064
MGI:4357921	Gls001
MGI:1099809	Fgf10
MGI:3663608	Mskt7
MGI:1194899	Inpp5k
MGI:5490300	Gena371
MGI:3042412	Orgwq3
MGI:3036258	Chd5
MGI:5427402	Mut640
MGI:1338800	Bpnt1
MGI:1351648	Magel2
MGI:88541	Csn2
MGI:1346872	Map3k1
MGI:1918343	Atoh8
MGI:3817612	Rgsc1699
MGI:2663057	Mndl2
MGI:107732	Myo1a
MGI:2671678	inft7
MGI:103157	Dnase1
MGI:3033901	gro56
MGI:1888499	Cxcl13
MGI:97996	ro
MGI:95537	Ctgf
MGI:3702465	Mmom4
MGI:105925	Cdo1
MGI:88090	Ass1
MGI:2152039	T2dm2
MGI:102718	Vav2
MGI:2444716	Shisa2
MGI:107689	Kif3a
MGI:2686271	Opa3
MGI:104795	Rmp4
