FBbt:00000382PHENOTYPE	lateral H branch phenotype
FBbt:00000394PHENOTYPE	pharyngeal branch phenotype
FBbt:00000395PHENOTYPE	cerebral branch phenotype
FBbt:00000396PHENOTYPE	embryonic/larval cerebral anastomosis phenotype
FBbt:00000400PHENOTYPE	Drosophila ventral cephalic branch phenotype
FBbt:00000406PHENOTYPE	embryonic/larval spiracle phenotype
FBbt:00000407PHENOTYPE	embryonic/larval anterior spiracle phenotype
FBbt:00000408PHENOTYPE	papilla of larval anterior spiracle phenotype
FBbt:00000424PHENOTYPE	Drosophila embryonic/larval posterior spiracle phenotype
FBbt:00000425PHENOTYPE	stigmatophore phenotype
FBbt:00000426PHENOTYPE	spiracular chamber phenotype
FBbt:00000434PHENOTYPE	Drosophila filzkorper phenotype
FBbt:00000438PHENOTYPE	Drosophila presumptive embryonic/larval digestive system phenotype
FBbt:00000439PHENOTYPE	stomodeum phenotype
FBbt:00000440PHENOTYPE	Drosophila proctodeum phenotype
FBbt:00000441PHENOTYPE	Drosophila hindgut proper primordium phenotype
FBbt:00000442PHENOTYPE	Drosophila Malpighian tubule primordium phenotype
FBbt:00000443PHENOTYPE	embryonic primordium of adult salivary gland phenotype
FBbt:00000444PHENOTYPE	anterior midgut primordium phenotype
FBbt:00000449PHENOTYPE	Drosophila adult midgut precursor cell phenotype
FBbt:00000453PHENOTYPE	Drosophila midgut chamber 1 phenotype
FBbt:00000454PHENOTYPE	Drosophila midgut chamber 2 phenotype
FBbt:00000455PHENOTYPE	midgut chamber 3 phenotype
FBbt:00000457PHENOTYPE	midgut constriction phenotype
FBbt:00000458PHENOTYPE	Drosophila midgut constriction 1 phenotype
FBbt:00000459PHENOTYPE	Drosophila midgut constriction 2 phenotype
FBbt:00000460PHENOTYPE	midgut constriction 3 phenotype
FBbt:00000462PHENOTYPE	Drosophila embryonic/larval muscle system phenotype
FBbt:00000463PHENOTYPE	embryonic myoblast phenotype
FBbt:00000464PHENOTYPE	Drosophila embryonic/larval somatic muscle phenotype
FBbt:00000465PHENOTYPE	embryonic/larval hypodermal muscle phenotype
FBbt:00000466PHENOTYPE	oblique muscle phenotype
FBbt:00000467PHENOTYPE	dorsal oblique muscle phenotype
FBbt:00000468PHENOTYPE	lateral oblique muscle 1 phenotype
FBbt:00000469PHENOTYPE	Drosophila ventral oblique muscle phenotype
FBbt:00000471PHENOTYPE	Drosophila dorsal transverse muscle phenotype
FBbt:00000472PHENOTYPE	lateral transverse muscle phenotype
FBbt:00000475PHENOTYPE	Drosophila dorsal acute muscle phenotype
FBbt:00000477PHENOTYPE	Drosophila ventral acute muscle phenotype
FBbt:00000480PHENOTYPE	Drosophila longitudinal muscle phenotype
FBbt:00000481PHENOTYPE	Drosophila lateral longitudinal muscle 1 phenotype
FBbt:00000482PHENOTYPE	ventral longitudinal muscle phenotype
FBbt:00000483PHENOTYPE	segment border muscle phenotype
FBbt:00000487PHENOTYPE	pharyngeal muscle phenotype
FBbt:00000489PHENOTYPE	dorsal pharyngeal muscle phenotype
FBbt:00000503PHENOTYPE	prothoracic dorsal oblique muscle 1 phenotype
FBbt:00000504PHENOTYPE	Drosophila prothoracic dorsal oblique muscle 2 phenotype
FBbt:00000505PHENOTYPE	Drosophila prothoracic dorsal oblique muscle 3 phenotype
FBbt:00000506PHENOTYPE	prothoracic dorsal oblique muscle 4 phenotype
FBbt:00000509PHENOTYPE	Drosophila prothoracic ventral transverse muscle 1 phenotype
FBbt:00000515PHENOTYPE	Drosophila prothoracic ventral intersegmental muscle phenotype
FBbt:00000523PHENOTYPE	Drosophila mesothoracic dorsal acute muscle 1 phenotype
FBbt:00000525PHENOTYPE	Drosophila mesothoracic dorsal acute muscle 3 phenotype
FBbt:00000526PHENOTYPE	mesothoracic dorsal acute muscle 4 phenotype
FBbt:00000529PHENOTYPE	Drosophila mesothoracic dorsal oblique muscle 1 phenotype
FBbt:00000530PHENOTYPE	mesothoracic dorsal oblique muscle 2 phenotype
FBbt:00000531PHENOTYPE	mesothoracic dorsal oblique muscle 3 phenotype
FBbt:00000532PHENOTYPE	Drosophila mesothoracic dorsal oblique muscle 4 phenotype
FBbt:00000535PHENOTYPE	mesothoracic ventral oblique muscle phenotype
FBbt:00000537PHENOTYPE	Drosophila mesothoracic ventral oblique muscle 2 phenotype
FBbt:00000538PHENOTYPE	Drosophila mesothoracic segment border muscle phenotype
FBbt:00000540PHENOTYPE	mesothoracic lateral transverse muscle phenotype
FBbt:00000541PHENOTYPE	Drosophila mesothoracic lateral transverse muscle 1 phenotype
FBbt:00000542PHENOTYPE	mesothoracic lateral transverse muscle 2 phenotype
FBbt:00000543PHENOTYPE	Drosophila mesothoracic lateral transverse muscle 3 phenotype
FBbt:00000544PHENOTYPE	Drosophila mesothoracic lateral transverse muscle 4 phenotype
FBbt:00000547PHENOTYPE	Drosophila mesothoracic lateral longitudinal muscle 1 phenotype
FBbt:00000548PHENOTYPE	mesothoracic ventral longitudinal muscle phenotype
FBbt:00000549PHENOTYPE	mesothoracic ventral longitudinal muscle 1 phenotype
FBbt:00000555PHENOTYPE	metathoracic dorsal acute muscle 1 phenotype
FBbt:00000557PHENOTYPE	metathoracic dorsal acute muscle 3 phenotype
FBbt:00000558PHENOTYPE	metathoracic dorsal acute muscle 4 phenotype
FBbt:00000559PHENOTYPE	Drosophila metathoracic ventral acute muscle phenotype
FBbt:00000560PHENOTYPE	metathoracic ventral acute muscle 1 phenotype
FBbt:00000563PHENOTYPE	metathoracic dorsal oblique muscle 1 phenotype
FBbt:00000564PHENOTYPE	Drosophila metathoracic dorsal oblique muscle 2 phenotype
FBbt:00000565PHENOTYPE	Drosophila metathoracic dorsal oblique muscle 3 phenotype
FBbt:00000566PHENOTYPE	Drosophila metathoracic dorsal oblique muscle 4 phenotype
FBbt:00000569PHENOTYPE	Drosophila metathoracic ventral oblique muscle phenotype
FBbt:00000570PHENOTYPE	Drosophila metathoracic ventral oblique muscle 1 phenotype
FBbt:00000571PHENOTYPE	Drosophila metathoracic ventral oblique muscle 2 phenotype
FBbt:00000572PHENOTYPE	Drosophila metathoracic ventral oblique muscle 3 phenotype
FBbt:00000573PHENOTYPE	metathoracic segment border muscle phenotype
FBbt:00000575PHENOTYPE	Drosophila metathoracic lateral transverse muscle phenotype
FBbt:00000576PHENOTYPE	metathoracic lateral transverse muscle 1 phenotype
FBbt:00000577PHENOTYPE	Drosophila metathoracic lateral transverse muscle 2 phenotype
FBbt:00000578PHENOTYPE	metathoracic lateral transverse muscle 3 phenotype
FBbt:00000579PHENOTYPE	Drosophila metathoracic lateral transverse muscle 4 phenotype
FBbt:00000582PHENOTYPE	metathoracic lateral longitudinal muscle 1 phenotype
FBbt:00000583PHENOTYPE	Drosophila metathoracic ventral longitudinal muscle phenotype
FBbt:00000584PHENOTYPE	Drosophila metathoracic ventral longitudinal muscle 1 phenotype
FBbt:00000591PHENOTYPE	Drosophila A1-7 dorsal acute muscle 1 phenotype
FBbt:00000592PHENOTYPE	A1-7 dorsal acute muscle 2 phenotype
FBbt:00000593PHENOTYPE	Drosophila A1-7 dorsal acute muscle 3 phenotype
FBbt:00000594PHENOTYPE	A1-7 ventral acute muscle phenotype
FBbt:00000595PHENOTYPE	A1-7 ventral acute muscle 1 phenotype
FBbt:00000596PHENOTYPE	Drosophila A1-7 ventral acute muscle 2 phenotype
FBbt:00000597PHENOTYPE	Drosophila A1-7 ventral acute muscle 3 phenotype
FBbt:00000600PHENOTYPE	Drosophila A1-7 lateral longitudinal muscle 1 phenotype
FBbt:00000601PHENOTYPE	A1-7 ventral longitudinal muscle phenotype
FBbt:00000602PHENOTYPE	Drosophila A1-7 ventral longitudinal muscle 1 phenotype
FBbt:00000603PHENOTYPE	Drosophila A1-7 ventral longitudinal muscle 2 phenotype
FBbt:00000604PHENOTYPE	A1-7 ventral longitudinal muscle 3 phenotype
FBbt:00000605PHENOTYPE	Drosophila A1-7 ventral longitudinal muscle 4 phenotype
FBbt:00000606PHENOTYPE	Drosophila A1-7 segment border muscle phenotype
FBbt:00000609PHENOTYPE	Drosophila A1-7 dorsal oblique muscle 1 phenotype
FBbt:00000610PHENOTYPE	A1-7 dorsal oblique muscle 2 phenotype
FBbt:00000611PHENOTYPE	Drosophila A1-7 dorsal oblique muscle 3 phenotype
FBbt:00000612PHENOTYPE	Drosophila A1-7 dorsal oblique muscle 4 phenotype
FBbt:00000613PHENOTYPE	A1-7 dorsal oblique muscle 5 phenotype
FBbt:00000615PHENOTYPE	Drosophila A1-7 lateral oblique muscle 1 phenotype
FBbt:00000616PHENOTYPE	Drosophila A1-7 ventral oblique muscle phenotype
FBbt:00000617PHENOTYPE	Drosophila A1-7 ventral oblique muscle 1 phenotype
FBbt:00000618PHENOTYPE	Drosophila A1-7 ventral oblique muscle 2 phenotype
FBbt:00000620PHENOTYPE	A1-7 ventral oblique muscle 4 phenotype
FBbt:00000621PHENOTYPE	Drosophila A1-7 ventral oblique muscle 5 phenotype
FBbt:00000622PHENOTYPE	A2-7 ventral oblique muscle 6 phenotype
FBbt:00000625PHENOTYPE	A1-7 dorsal transverse muscle 1 phenotype
FBbt:00000626PHENOTYPE	A1-7 lateral transverse muscle phenotype
FBbt:00000627PHENOTYPE	Drosophila A1-7 lateral transverse muscle 1 phenotype
FBbt:00000628PHENOTYPE	A1-7 lateral transverse muscle 2 phenotype
FBbt:00000629PHENOTYPE	Drosophila A1-7 lateral transverse muscle 3 phenotype
FBbt:00000630PHENOTYPE	A1-7 lateral transverse muscle 4 phenotype
FBbt:00000632PHENOTYPE	A2-7 ventral transverse muscle 1 phenotype
FBbt:00000640PHENOTYPE	abdominal 1 dorsal acute muscle 1 phenotype
FBbt:00000642PHENOTYPE	Drosophila abdominal 1 dorsal acute muscle 3 phenotype
FBbt:00000644PHENOTYPE	Drosophila abdominal 1 ventral acute muscle 1 phenotype
FBbt:00000645PHENOTYPE	Drosophila abdominal 1 ventral acute muscle 2 phenotype
FBbt:00000646PHENOTYPE	abdominal 1 ventral acute muscle 3 phenotype
FBbt:00000649PHENOTYPE	abdominal 1 lateral longitudinal muscle 1 phenotype
FBbt:00000650PHENOTYPE	abdominal 1 ventral longitudinal muscle phenotype
FBbt:00000651PHENOTYPE	Drosophila abdominal 1 ventral longitudinal muscle 1 phenotype
FBbt:00000652PHENOTYPE	abdominal 1 ventral longitudinal muscle 2 phenotype
FBbt:00000654PHENOTYPE	abdominal 1 ventral longitudinal muscle 4 phenotype
FBbt:00000655PHENOTYPE	abdominal 1 segment border muscle phenotype
FBbt:00000658PHENOTYPE	Drosophila abdominal 1 dorsal oblique muscle 1 phenotype
FBbt:00000660PHENOTYPE	abdominal 1 dorsal oblique muscle 3 phenotype
FBbt:00000661PHENOTYPE	Drosophila abdominal 1 dorsal oblique muscle 4 phenotype
FBbt:00000662PHENOTYPE	abdominal 1 dorsal oblique muscle 5 phenotype
FBbt:00000665PHENOTYPE	Drosophila abdominal 1 ventral oblique muscle phenotype
FBbt:00000666PHENOTYPE	Drosophila abdominal 1 ventral oblique muscle 1 phenotype
FBbt:00000667PHENOTYPE	abdominal 1 ventral oblique muscle 2 phenotype
FBbt:00000668PHENOTYPE	Drosophila abdominal 1 ventral oblique muscle 4 phenotype
FBbt:00000669PHENOTYPE	Drosophila abdominal 1 ventral oblique muscle 5 phenotype
FBbt:00000670PHENOTYPE	Drosophila abdominal 1 ventral oblique muscle 3 phenotype
FBbt:00000673PHENOTYPE	abdominal 1 dorsal transverse muscle 1 phenotype
FBbt:00000674PHENOTYPE	Drosophila abdominal 1 lateral transverse muscle phenotype
FBbt:00000675PHENOTYPE	abdominal 1 lateral transverse muscle 1 phenotype
FBbt:00000676PHENOTYPE	abdominal 1 lateral transverse muscle 2 phenotype
FBbt:00000677PHENOTYPE	Drosophila abdominal 1 lateral transverse muscle 3 phenotype
FBbt:00000678PHENOTYPE	Drosophila abdominal 1 lateral transverse muscle 4 phenotype
FBbt:00000685PHENOTYPE	Drosophila abdominal 2 dorsal acute muscle 1 phenotype
FBbt:00000686PHENOTYPE	Drosophila abdominal 2 dorsal acute muscle 2 phenotype
