FlyBase:FBal0000654	ap[blt]
FlyBase:FBal0000656	ap[blt2]
FlyBase:FBal0000657	ap[blt3]
FlyBase:FBal0000658	ap[c]
FlyBase:FBal0000659	ap[e]
FlyBase:FBal0000660	ap[ID]
FlyBase:FBal0000661	ap[T60]
FlyBase:FBal0000662	ap[trw]
FlyBase:FBal0000663	ap[Xa]
FlyBase:FBal0000664	apb[1]
FlyBase:FBal0000665	aperA[1]
FlyBase:FBal0000666	aperA[2]
FlyBase:FBal0000667	aperB[1]
FlyBase:FBal0000668	aperB[2]
FlyBase:FBal0000669	aperC[1]
FlyBase:FBal0000670	Mad[apg]
FlyBase:FBal0000671	Alp1[F]
FlyBase:FBal0000672	Alp1[S]
FlyBase:FBal0000673	Alp1[A]
FlyBase:FBal0000674	Alp1[0]
FlyBase:FBal0000675	Alp1[2]
FlyBase:FBal0000676	Alp1[10]
FlyBase:FBal0000679	apo[1]
FlyBase:FBal0000680	app[1]
FlyBase:FBal0000681	app[61e]
FlyBase:FBal0000682	Aprt[A]
FlyBase:FBal0000683	Aprt[B]
FlyBase:FBal0000684	Aprt[1]
FlyBase:FBal0000685	Aprt[2]
FlyBase:FBal0000686	Aprt[3]
FlyBase:FBal0000687	Aprt[4]
FlyBase:FBal0000688	Aprt[5]
FlyBase:FBal0000689	Apart[1]
FlyBase:FBal0000691	apx[1]
FlyBase:FBal0000692	ar[1]
FlyBase:FBal0000693	ar[2]
FlyBase:FBal0000694	ar[57d]
FlyBase:FBal0000695	ar[57g]
FlyBase:FBal0000698	ar[68i]
FlyBase:FBal0000700	arch[1]
FlyBase:FBal0000701	aret[1]
FlyBase:FBal0000702	aret[WH]
FlyBase:FBal0000703	aret[PA]
FlyBase:FBal0000704	aret[PC]
FlyBase:FBal0000705	aret[PD]
FlyBase:FBal0000706	aret[PE]
FlyBase:FBal0000707	aret[QB]
FlyBase:FBal0000708	aret[RM]
FlyBase:FBal0000709	aret[01284]
FlyBase:FBal0000710	arm[1]
FlyBase:FBal0000711	arm[2]
FlyBase:FBal0000712	arm[3]
FlyBase:FBal0000713	arm[4]
FlyBase:FBal0000714	arm[5]
FlyBase:FBal0000715	arm[6]
FlyBase:FBal0000716	arm[8]
FlyBase:FBal0000717	arm[2a9]
FlyBase:FBal0000718	arm[#2]
FlyBase:FBal0000719	arm[13-17]
FlyBase:FBal0000720	arm[25B]
FlyBase:FBal0000722	Su(z)2[Arp2]
FlyBase:FBal0000723	arr[1]
FlyBase:FBal0000724	arr[2]
FlyBase:FBal0000725	art[1]
FlyBase:FBal0000726	arth[1]
FlyBase:FBal0000727	as[1]
FlyBase:FBal0000728	as[2]
FlyBase:FBal0000729	as[hg]
FlyBase:FBal0000731	ash1[1]
FlyBase:FBal0000732	ash1[2]
FlyBase:FBal0000734	ash1[4]
FlyBase:FBal0000736	ash1[6]
FlyBase:FBal0000737	ash1[7]
FlyBase:FBal0000738	ash1[8]
FlyBase:FBal0000739	ash1[9]
FlyBase:FBal0000740	ash1[10]
FlyBase:FBal0000741	ash1[11]
FlyBase:FBal0000742	ash1[12]
FlyBase:FBal0000746	ash1[14]
FlyBase:FBal0000748	ash1[16]
FlyBase:FBal0000749	ash1[17]
FlyBase:FBal0000753	ash1[21]
FlyBase:FBal0000754	ash1[22]
FlyBase:FBal0000757	ash2[1]
FlyBase:FBal0000758	ash2[2]
FlyBase:FBal0000759	ash2[3]
FlyBase:FBal0000760	ash2[4]
FlyBase:FBal0000762	ash2[6]
FlyBase:FBal0000763	ash2[7]
FlyBase:FBal0000764	ash2[8]
FlyBase:FBal0000765	ash2[9]
FlyBase:FBal0000766	ash2[10]
FlyBase:FBal0000767	ash2[11]
FlyBase:FBal0000769	ash2[13]
FlyBase:FBal0000770	ash2[14]
FlyBase:FBal0000771	ash2[15]
FlyBase:FBal0000772	ash2[16]
FlyBase:FBal0000773	asp[1]
FlyBase:FBal0000774	ast[1]
FlyBase:FBal0000775	ast[2]
FlyBase:FBal0000776	ast[3]
FlyBase:FBal0000777	ast[4]
FlyBase:FBal0000778	ast[5]
FlyBase:FBal0000779	ast[X]
FlyBase:FBal0000780	ast[rv1]
FlyBase:FBal0000781	ast[rv2]
FlyBase:FBal0000782	ast[rv3]
FlyBase:FBal0000784	Asx[1]
FlyBase:FBal0000786	Asx[3]
FlyBase:FBal0000788	Asx[5]
FlyBase:FBal0000789	Asx[6]
FlyBase:FBal0000790	ascutex[1]
FlyBase:FBal0000791	at[1]
FlyBase:FBal0000792	Attenuated[1]
FlyBase:FBal0000793	Ata[1]
FlyBase:FBal0000795	ats[1]
FlyBase:FBal0000796	aub[OC]
FlyBase:FBal0000797	aub[AHN]
FlyBase:FBal0000798	aub[HN2]
FlyBase:FBal0000799	aurA[1]
FlyBase:FBal0000801	aurA[3]
FlyBase:FBal0000802	aurA[87Ac-1]
FlyBase:FBal0000803	aurA[87Ac-2]
FlyBase:FBal0000804	aurA[87Ac-3]
FlyBase:FBal0000805	aurA[87Ac-4]
FlyBase:FBal0000806	aurA[87Ac-5]
FlyBase:FBal0000807	aurA[87Ac-6]
FlyBase:FBal0000808	aw[1]
FlyBase:FBal0000809	aw-b[1]
FlyBase:FBal0000810	awd[b3]
FlyBase:FBal0000811	awd[K]
FlyBase:FBal0000812	awd[Krv14]
FlyBase:FBal0000814	awu[1]
FlyBase:FBal0000816	Axs[D]
FlyBase:FBal0000817	B[1]
FlyBase:FBal0000818	B[3]
FlyBase:FBal0000819	B[4]
FlyBase:FBal0000820	B[36b]
FlyBase:FBal0000821	B[36d]
FlyBase:FBal0000822	B[36j]
FlyBase:FBal0000823	B[48g]
FlyBase:FBal0000824	B[58l]
FlyBase:FBal0000825	B[68f]
FlyBase:FBal0000826	B[263-5]
FlyBase:FBal0000829	B[263-24]
FlyBase:FBal0000830	B[263-28]
FlyBase:FBal0000831	B[263-34]
FlyBase:FBal0000832	B[263-38]
FlyBase:FBal0000833	B[263-43]
FlyBase:FBal0000834	B[263-46]
FlyBase:FBal0000835	B[263-47]
FlyBase:FBal0000836	B[263-48]
FlyBase:FBal0000837	B[263-49]
FlyBase:FBal0000838	B[263-51]
FlyBase:FBal0000840	B[DG]
FlyBase:FBal0000841	B[i]
FlyBase:FBal0000842	B[i40b]
FlyBase:FBal0000843	B[i67b]
FlyBase:FBal0000844	B[i67f]
FlyBase:FBal0000845	B[M1]
FlyBase:FBal0000846	B[M2]
FlyBase:FBal0000847	B[par]
FlyBase:FBal0000849	B[R]
FlyBase:FBal0000850	B[rev-1]
FlyBase:FBal0000851	B[rev-2]
FlyBase:FBal0000852	B[rev-3]
FlyBase:FBal0000853	B[S]
FlyBase:FBal0000854	B[S3i]
FlyBase:FBal0000855	B[SR]
FlyBase:FBal0000857	B[BB]
FlyBase:FBal0000858	b[1]
FlyBase:FBal0000859	b[14b28]
FlyBase:FBal0000860	b[18c27]
FlyBase:FBal0000861	b[23b2]
FlyBase:FBal0000862	b[24b15]
FlyBase:FBal0000863	b[29]
FlyBase:FBal0000864	b[34g]
FlyBase:FBal0000865	b[36f]
FlyBase:FBal0000866	b[39]
FlyBase:FBal0000867	b[39j]
FlyBase:FBal0000868	b[40c]
FlyBase:FBal0000869	b[50d]
FlyBase:FBal0000870	b[51f]
FlyBase:FBal0000871	b[661]
FlyBase:FBal0000872	b[66h]
FlyBase:FBal0000874	b[71k2]
FlyBase:FBal0000875	b[74b2]
FlyBase:FBal0000876	b[74b4]
FlyBase:FBal0000877	b[74b5]
FlyBase:FBal0000878	b[74c2]
FlyBase:FBal0000879	b[74c4]
FlyBase:FBal0000880	b[74c5]
FlyBase:FBal0000881	b[74d2]
FlyBase:FBal0000882	b[74d4]
FlyBase:FBal0000883	b[74d6]
FlyBase:FBal0000884	b[75a]
FlyBase:FBal0000885	b[75f]
FlyBase:FBal0000886	b[76b1]
FlyBase:FBal0000887	b[76b2]
FlyBase:FBal0000888	b[76e1]
FlyBase:FBal0000889	b[76e2]
FlyBase:FBal0000890	b[76f3]
FlyBase:FBal0000891	b[76j1]
FlyBase:FBal0000892	b[76j2]
